room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
11637213,1436,24705242,Shared room,,San Diego,,Pacific Beach,2,0.0,2,1.0,,63.0,,2017-07-12 05:19:23.000975,32.795259,-117.252712,0101000020E6100000A2D3F36E2C505DC0C26C020CCB654040
14351163,1436,87948847,Shared room,,San Diego,,Mountain View,0,0.0,1,1.0,,80.0,,2017-07-12 05:19:22.998198,32.699822,-117.106789,0101000020E6100000A5A487A1D5465DC0BA826DC493594040
9327098,1436,31043523,Shared room,,San Diego,,Tierrasanta,0,0.0,2,1.0,,75.0,,2017-07-12 05:19:22.995312,32.836102,-117.084967,0101000020E6100000508F6D1970455DC0620FED63056B4040
17535919,1436,117987352,Shared room,,San Diego,,Pacific Beach,1,0.0,3,1.0,,70.0,,2017-07-12 05:19:22.992387,32.801236,-117.241454,0101000020E6100000425F7AFB734F5DC05E30B8E68E664040
3688119,1436,13209607,Shared room,,San Diego,,Cortez Hill,1,0.0,2,1.0,,78.0,,2017-07-12 05:19:22.989440,32.724846,-117.165529,0101000020E61000008962F206984A5DC07651F4C0C75C4040
14762372,1436,21234531,Shared room,,San Diego,,Ocean Beach,9,5.0,3,1.0,,70.0,,2017-07-12 05:19:22.986805,32.736471,-117.252142,0101000020E6100000ADFC321823505DC0E9B985AE445E4040
3560755,1436,17926311,Shared room,,San Diego,,North Hills,1,0.0,1,1.0,,79.0,,2017-07-12 05:19:22.979902,32.740375,-117.121017,0101000020E6100000A45016BEBE475DC054E3A59BC45E4040
2410888,1436,12321320,Shared room,,San Diego,,North Clairemont,21,4.5,6,1.0,,80.0,,2017-07-12 05:19:22.973973,32.822358,-117.200676,0101000020E6100000E54526E0D74C5DC04FCDE50643694040
16158112,1436,105463935,Shared room,,San Diego,,Rolando,1,0.0,1,1.0,,80.0,,2017-07-12 05:19:22.971258,32.754225,-117.060668,0101000020E61000007BFA08FCE1435DC0AD69DE718A604040
16788370,1436,111548010,Shared room,,San Diego,,Bird Land,0,0.0,5,1.0,,75.0,,2017-07-12 05:19:22.968682,32.786432,-117.154225,0101000020E610000070CE88D2DE495DC09143C4CDA9644040
